t2.actividad,codigo_proceso,matched_codigo_arquetipo,matched_nombre_arquetipo,Capacidad de Procesos (Nivel 3),Código Capacidad,Arquetipos Relacionado
realizar seguimiento ,T160265,ARQ022,Generar información,Realizar seguimiento a planes de acciÃ³n.,,
atender incidente ,T160265,ARQ022,Generar información,Atender incidentes operativos,,
certificar cuenta contable ,T160265,ARQ022,Generar información,Certificar cuenta,,Ejecutar el cuadre contable del producto
gestionar alertas ,T160265,ARQ022,Generar información,Gestionar alertas,,
contingencia ,T160273,ARQ002,Abrir producto,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T160273,ARQ002,Abrir producto,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T160273,ARQ002,Abrir producto,Atender contingencias operativas,,
realizar seguimiento ,T160273,ARQ002,Abrir producto,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160273,ARQ002,Abrir producto,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160273,ARQ002,Abrir producto,Realizar seguimiento a planes de acciÃ³n.,,
documentar hallazgos ,T160443,ARQ027,Atender solicitudes de usuario,Documentar hallazgos clave de investigaciÃ³n,,
recibir solicitudes de crédito fopep ,T160443,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
m: cumplimiento de los servicios p: personalizar y entregar producto tdc ,T160443,ARQ027,Atender solicitudes de usuario,Entregar producto,,Aplicar novedad
generar reporte ,T160443,ARQ027,Atender solicitudes de usuario,Generar reportes de auditorÃ­as realizadas,,
recibir solicitudes bancacolombia ,T160443,ARQ140,Administrar servicio en canales,Recibir solicitud,,
m: cumplimiento de los servicios p: personalizar y entregar producto tdc ,T160443,ARQ140,Administrar servicio en canales,Entregar producto,,Aplicar novedad
generar reporte ,T160443,ARQ140,Administrar servicio en canales,Generar reportes de auditorÃ­as realizadas,,
recibir solicitud de crédito ,T160443,ARQ140,Administrar servicio en canales,Recibir solicitud,,
documentar hallazgos ,T160443,ARQ114,Realizar Vinculación,Documentar hallazgos clave de investigaciÃ³n,,
recibir solicitudes de crédito fopep ,T160443,ARQ114,Realizar Vinculación,Recibir solicitud,,
m: cumplimiento de los servicios p: personalizar y entregar producto tdc ,T160443,ARQ114,Realizar Vinculación,Entregar producto,,Aplicar novedad
generar reporte ,T160443,ARQ114,Realizar Vinculación,Generar reportes de auditorÃ­as realizadas,,
generar viabilidad ,T160499,ARQ056,Administrar el servicio de los canales,Generar viabilidad legal,,Estructurar producto
generar viabilidad ,T160499,ARQ056,Administrar el servicio de los canales,Generar viabilidad financiera,,Estructurar producto
generar viabilidad ,T160499,ARQ056,Administrar el servicio de los canales,Generar viabilidad tÃ©cnica,,Estructurar producto
generar documento otro si ,T160612,ARQ056,Administrar el servicio de los canales,Generar documento,,Abrir producto
generar documento otro si ,T160612,ARQ056,Administrar el servicio de los canales,Generar documento,,Aplicar novedad
ejecutar acciones ,T160612,ARQ056,Administrar el servicio de los canales,Ejecutar acciones para cierre de brechas de precios respecto a politica de precio,,
ejecutar acciones ,T160612,ARQ056,Administrar el servicio de los canales,Ejecutar acciones de atracciÃ³n de clientes para ventas digitales,,
recibir solicitud generación otro si ,T160612,ARQ056,Administrar el servicio de los canales,Recibir solicitud,,
gestionar cambio ,T160612,ARQ056,Administrar el servicio de los canales,Gestionar cambios de Ãºltima hora y reprogramaciones,,
cerrar caso ,T160612,ARQ056,Administrar el servicio de los canales,Cerrar caso.,,
notificar al cliente ,T160642,ARQ123,Ejecutar cuadre contable del producto,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud ,T160642,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
generar asiento contable ,T160642,ARQ123,Ejecutar cuadre contable del producto,Generar asiento contable,,Ejecutar el cuadre contable del producto
contingencia ,T160642,ARQ123,Ejecutar cuadre contable del producto,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T160642,ARQ123,Ejecutar cuadre contable del producto,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T160642,ARQ123,Ejecutar cuadre contable del producto,Atender contingencias operativas,,
recibir solicitud de ajuste al pago ,T160642,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
crear caso ,T160642,ARQ123,Ejecutar cuadre contable del producto,Crear Caso de investigaciÃ³n.,,
1\. identificar tipo de novedad ,T160642,ARQ123,Ejecutar cuadre contable del producto,Identificar tipo de novedad,,Aplicar novedad
1\. identificar tipo de novedad ,T160642,ARQ123,Ejecutar cuadre contable del producto,Identificar tipo de novedad,,Aplicar novedades
gestionar novedades ,T160642,ARQ123,Ejecutar cuadre contable del producto,Gestionar novedades para campos protegidos,,
recibir solicitud de ajuste al pago ,T160642,ARQ022,Generar información,Recibir solicitud,,
crear caso ,T160642,ARQ022,Generar información,Crear Caso de investigaciÃ³n.,,
gestionar novedades ,T160642,ARQ005,Aplicar novedad,Gestionar novedades para campos protegidos,,
certificar cuentas a cargo en alcon ,T160647,ARQ005,Aplicar novedad,Certificar cuenta,,Ejecutar el cuadre contable del producto
gestionar alertas alcon ,T160647,ARQ005,Aplicar novedad,Gestionar alertas,,
certificar cuentas contables [act364] ,T160647,ARQ005,Aplicar novedad,Certificar cuenta,,Ejecutar el cuadre contable del producto
atender solicitud ,T160654,ARQ005,Aplicar novedad,Atender solicitudes de entes externos.,,
atender solicitud ,T160654,ARQ005,Aplicar novedad,Atender solicitudes de desembolso,,
atender solicitud ,T160654,ARQ005,Aplicar novedad,Atender solicitudes AQR's ,,
atender solicitud ,T160654,ARQ005,Aplicar novedad,Atender solicitudes del usuario,,
reportar inconsistencia ,T160654,ARQ005,Aplicar novedad,Detectar y reportar inconsistencias operativas,,
recalcular ,T160654,ARQ005,Aplicar novedad,Recalcular saldos ,,
recibir solicitud de cancelación ,T160659,ARQ005,Aplicar novedad,Recibir solicitud,,
cerrar solicitud ,T160659,ARQ005,Aplicar novedad,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160659,ARQ005,Aplicar novedad,Cerrar solicitud novedad,,
solicitar ajuste ,T160659,ARQ005,Aplicar novedad,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
recibir solicitud ,T160659,ARQ005,Aplicar novedad,Recibir solicitud,,
atender requerimiento ,T160668,ARQ022,Generar información,Atender requerimientos de auditorÃ­a,,
notificar al cliente ,T160668,ARQ022,Generar información,Notificar al clientes activaciÃ³n del producto,,
solicitar ajustes ,T160668,ARQ022,Generar información,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
aplicar cambio ,T160668,ARQ022,Generar información,Aplicar cambios solicitados,,
recibir solicitud servicio ,T160668,ARQ022,Generar información,Recibir solicitud,,
elaborar informe o reporte [cmp86] ,T160668,ARQ022,Generar información,Elaborar informe o reporte,,Generar informaciÃ³n
guardar ,T160668,ARQ022,Generar información,Guardar el resultado de la simulaciÃ³n,,Abrir producto
guardar ,T160668,ARQ022,Generar información,Guardar el resultado de la simulaciÃ³n,,Aplicar novedad
solicitar ajuste ,T160668,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
atender novedad ,T160668,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Atender novedades por cambios de tarifas,,
atender novedad ,T160668,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Atender novedades operativas,,
solicitar ajustes ,T160668,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
recibir solicitud o novedad ,T160668,ARQ039,Ejecutar el desembolso,Recibir solicitud,,
gestionar novedad ,T160668,ARQ039,Ejecutar el desembolso,Gestionar novedades para campos protegidos,,
solicitar ajuste ,T160668,ARQ039,Ejecutar el desembolso,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
cerrar caso ,T160668,ARQ039,Ejecutar el desembolso,Cerrar caso.,,
atender requerimientos ,T160668,ARQ039,Ejecutar el desembolso,Atender requerimientos de auditorÃ­a,,
atender novedad ,T160668,ARQ039,Ejecutar el desembolso,Atender novedades por cambios de tarifas,,
atender novedad ,T160668,ARQ039,Ejecutar el desembolso,Atender novedades operativas,,
realizar firma [cmt78] ,T160669,ARQ039,Ejecutar el desembolso,Realizar firma,,Abrir producto
generar documento [cmf04] ,T160669,ARQ039,Ejecutar el desembolso,Generar documento,,Abrir producto
generar documento [cmf04] ,T160669,ARQ039,Ejecutar el desembolso,Generar documento,,Aplicar novedad
custodiar documentos en la nube ,T160669,ARQ039,Ejecutar el desembolso,Custodiar documento,,Procesar documento
custodiar documentos ,T160669,ARQ039,Ejecutar el desembolso,Custodiar documento,,Procesar documento
custodiar documentos físicos ,T160669,ARQ123,Ejecutar cuadre contable del producto,Custodiar documento,,Procesar documento
entregar producto [act151] ,T160669,ARQ123,Ejecutar cuadre contable del producto,Entregar producto,,Aplicar novedad
realizar firma [cmt78] ,T160669,ARQ123,Ejecutar cuadre contable del producto,Realizar firma,,Abrir producto
generar documento [cmf04] ,T160669,ARQ005,Aplicar novedad,Generar documento,,Abrir producto
generar documento [cmf04] ,T160669,ARQ005,Aplicar novedad,Generar documento,,Aplicar novedad
custodiar documentos en la nube ,T160669,ARQ005,Aplicar novedad,Custodiar documento,,Procesar documento
custodiar documentos físicos ,T160669,ARQ005,Aplicar novedad,Custodiar documento,,Procesar documento
notificar inconsistencias ,VAL080512,ARQ002,Abrir producto,Notificar inconsistencias,,
